fname,id,context,question,answer
Antepartum care_Dr Pronov.docx,123,গর্ভাবস্থায় ক্ষুধা,গর্ভাবস্থায় খাবার খাওয়ার তীব্র ইচ্ছা হলে কি করতে হবে ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 123, 'context': 'গর্ভাবস্থায় ক্ষুধা', 'question': 'গর্ভাবস্থায় খাবার খাওয়ার তীব্র ইচ্ছা হলে কি করতে হবে ?'}"
Antepartum care_Dr Pronov.docx,124,গর্ভাবস্থায় ক্ষুধা,গর্ভাবস্থায় খাবার খাওয়ার তীব্র ইচ্ছা কখন হয়?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 124, 'context': 'গর্ভাবস্থায় ক্ষুধা', 'question': 'গর্ভাবস্থায় খাবার খাওয়ার তীব্র ইচ্ছা কখন হয়?'}"
Antepartum care_Dr Pronov.docx,125,গর্ভাবস্থায় ক্ষুধা,গর্ভাবস্থায়  কোন ধরনের খাবার খাওয়ার তীব্র ইচ্ছা হয়?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 125, 'context': 'গর্ভাবস্থায় ক্ষুধা', 'question': 'গর্ভাবস্থায়  কোন ধরনের খাবার খাওয়ার তীব্র ইচ্ছা হয়?'}"
Antepartum care_Dr Pronov.docx,126,গর্ভাবস্থায় ক্ষুধা,গর্ভাবস্থায় খাবার খাওয়ার তীব্র ইচ্ছা হলে কী করবেন?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 126, 'context': 'গর্ভাবস্থায় ক্ষুধা', 'question': 'গর্ভাবস্থায় খাবার খাওয়ার তীব্র ইচ্ছা হলে কী করবেন?'}"
Antepartum care_Dr Pronov.docx,127,গর্ভাবস্থায় ক্ষুধা,গর্ভাবস্থায় খাবার খাওয়ার তীব্র ইচ্ছা  কেন হয়?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 127, 'context': 'গর্ভাবস্থায় ক্ষুধা', 'question': 'গর্ভাবস্থায় খাবার খাওয়ার তীব্র ইচ্ছা  কেন হয়?'}"
Antepartum care_Dr Pronov.docx,135,গর্ভাবস্থায় অজ্ঞান হয়ে যাওয়া,গর্ভাবস্থায় অজ্ঞান হয়ে যাওয়ার কারন  কি ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 135, 'context': 'গর্ভাবস্থায় অজ্ঞান হয়ে যাওয়া', 'question': 'গর্ভাবস্থায় অজ্ঞান হয়ে যাওয়ার কারন  কি ?'}"
Antepartum care_Dr Pronov.docx,136,গর্ভাবস্থায় অজ্ঞান হয়ে যাওয়া,গর্ভাবস্থায় অজ্ঞান হওয়ার পূর্বলক্ষণ কি কি  ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 136, 'context': 'গর্ভাবস্থায় অজ্ঞান হয়ে যাওয়া', 'question': 'গর্ভাবস্থায় অজ্ঞান হওয়ার পূর্বলক্ষণ কি কি  ?'}"
Antepartum care_Dr Pronov.docx,137,গর্ভাবস্থায় অজ্ঞান হয়ে যাওয়া,গর্ভাবস্থায় অজ্ঞান হচ্ছেন মনে হলে করণীয় কি ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 137, 'context': 'গর্ভাবস্থায় অজ্ঞান হয়ে যাওয়া', 'question': 'গর্ভাবস্থায় অজ্ঞান হচ্ছেন মনে হলে করণীয় কি ?'}"
Antepartum care_Dr Pronov.docx,138,গর্ভাবস্থায় অজ্ঞান হয়ে যাওয়া,গর্ভাবস্থায় পড়ে যাওয়া থেকে সম্ভাব্য স্বাস্থ্যঝুঁকি কি কি ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 138, 'context': 'গর্ভাবস্থায় অজ্ঞান হয়ে যাওয়া', 'question': 'গর্ভাবস্থায় পড়ে যাওয়া থেকে সম্ভাব্য স্বাস্থ্যঝুঁকি কি কি ?'}"
Antepartum care_Dr Pronov.docx,139,গর্ভাবস্থায় অজ্ঞান হয়ে যাওয়া,গর্ভাবস্থায় অজ্ঞান হওয়া প্রতিরোধের উপায় কি ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 139, 'context': 'গর্ভাবস্থায় অজ্ঞান হয়ে যাওয়া', 'question': 'গর্ভাবস্থায় অজ্ঞান হওয়া প্রতিরোধের উপায় কি ?'}"
Antepartum care_Dr Pronov.docx,144,গর্ভাবস্থায় অতিরিক্ত গরম লাগা,গর্ভাবস্থায় অতিরিক্ত গরম থেকে জটিলতা ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 144, 'context': 'গর্ভাবস্থায় অতিরিক্ত গরম লাগা', 'question': 'গর্ভাবস্থায় অতিরিক্ত গরম থেকে জটিলতা ?'}"
Antepartum care_Dr Pronov.docx,145,গর্ভাবস্থায় অতিরিক্ত গরম লাগা,গর্ভাবস্থায় অতিরিক্ত গরম থেকে প্রতিরোধ এর উপায় কি কি ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 145, 'context': 'গর্ভাবস্থায় অতিরিক্ত গরম লাগা', 'question': 'গর্ভাবস্থায় অতিরিক্ত গরম থেকে প্রতিরোধ এর উপায় কি কি ?'}"
Antepartum care_Dr Pronov.docx,149,গর্ভাবস্থায় চুলকানি,গর্ভকালীন চুলকানির কার্যকর ঘরোয়া সমাধান কী ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 149, 'context': 'গর্ভাবস্থায় চুলকানি', 'question': 'গর্ভকালীন চুলকানির কার্যকর ঘরোয়া সমাধান কী ?'}"
Antepartum care_Dr Pronov.docx,151,গর্ভাবস্থায় চুলকানি,গর্ভাবস্থার বিশেষ লিভারের রোগ  এ কী  উপসর্গ দেখা  যায় ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 151, 'context': 'গর্ভাবস্থায় চুলকানি', 'question': 'গর্ভাবস্থার বিশেষ লিভারের রোগ  এ কী  উপসর্গ দেখা  যায় ?'}"
Antepartum care_Dr Pronov.docx,153,গর্ভাবস্থায় চুলকানি,গর্ভকালীন চুলকানির ঔষধ  কী ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 153, 'context': 'গর্ভাবস্থায় চুলকানি', 'question': 'গর্ভকালীন চুলকানির ঔষধ  কী ?'}"
Antepartum care_Dr Pronov.docx,155,গর্ভাবস্থায় চোখে ঝাপসা দেখা,গর্ভাবস্থায় চোখে ঝাপসা দেখার কারণ কী ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 155, 'context': 'গর্ভাবস্থায় চোখে ঝাপসা দেখা', 'question': 'গর্ভাবস্থায় চোখে ঝাপসা দেখার কারণ কী ?'}"
Antepartum care_Dr Pronov.docx,156,গর্ভাবস্থায় চোখে ঝাপসা দেখা,গর্ভাবস্থায় চোখে ঝাপসা দেখা কখন সম্ভাব্য জটিলতার লক্ষণ ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 156, 'context': 'গর্ভাবস্থায় চোখে ঝাপসা দেখা', 'question': 'গর্ভাবস্থায় চোখে ঝাপসা দেখা কখন সম্ভাব্য জটিলতার লক্ষণ ?'}"
Antepartum care_Dr Pronov.docx,157,গর্ভাবস্থায় চোখে ঝাপসা দেখা,গর্ভাবস্থায় চোখে ঝাপসা দেখার চিকিৎসা  কি ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 157, 'context': 'গর্ভাবস্থায় চোখে ঝাপসা দেখা', 'question': 'গর্ভাবস্থায় চোখে ঝাপসা দেখার চিকিৎসা  কি ?'}"
Antepartum care_Dr Pronov.docx,158,গর্ভাবস্থায় জ্বর,গর্ভাবস্থায় জ্বর  আসতে পারে কি ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 158, 'context': 'গর্ভাবস্থায় জ্বর', 'question': 'গর্ভাবস্থায় জ্বর  আসতে পারে কি ?'}"
Antepartum care_Dr Pronov.docx,160,গর্ভাবস্থায় জ্বর,গর্ভাবস্থায় জ্বর হলে করণীয় কি?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 160, 'context': 'গর্ভাবস্থায় জ্বর', 'question': 'গর্ভাবস্থায় জ্বর হলে করণীয় কি?'}"
Antepartum care_Dr Pronov.docx,161,গর্ভাবস্থায় জ্বর,গর্ভাবস্থায় জ্বরের কারণ ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 161, 'context': 'গর্ভাবস্থায় জ্বর', 'question': 'গর্ভাবস্থায় জ্বরের কারণ ?'}"
Antepartum care_Dr Pronov.docx,162,গর্ভাবস্থায় জ্বর,গর্ভাবস্থায় জ্বরের প্রতিরোধ ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 162, 'context': 'গর্ভাবস্থায় জ্বর', 'question': 'গর্ভাবস্থায় জ্বরের প্রতিরোধ ?'}"
Antepartum care_Dr Pronov.docx,166,গর্ভাবস্থায় ডায়রিয়া,গর্ভাবস্থায় ডায়রিয়ার ঘরোয়া চিকিৎসা কি ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 166, 'context': 'গর্ভাবস্থায় ডায়রিয়া', 'question': 'গর্ভাবস্থায় ডায়রিয়ার ঘরোয়া চিকিৎসা কি ?'}"
Antepartum care_Dr Pronov.docx,169,গর্ভাবস্থায় ডায়রিয়া,গর্ভাবস্থায় ডায়রিয়া নিয়ে কিছু প্রচলিত ধারণা কি কি ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 169, 'context': 'গর্ভাবস্থায় ডায়রিয়া', 'question': 'গর্ভাবস্থায় ডায়রিয়া নিয়ে কিছু প্রচলিত ধারণা কি কি ?'}"
Antepartum care_Dr Pronov.docx,174,গর্ভাবস্থায় নাক দিয়ে রক্ত পড়া,গর্ভাবস্থায় নাক দিয়ে রক্ত পড়া প্রতিরোধের উপায়,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 174, 'context': 'গর্ভাবস্থায় নাক দিয়ে রক্ত পড়া', 'question': 'গর্ভাবস্থায় নাক দিয়ে রক্ত পড়া প্রতিরোধের উপায়'}"
Antepartum care_Dr Pronov.docx,183,গর্ভাবস্থায় পানি ভাঙা,গর্ভাবস্থায় অসময়ে পানি ভাঙ্গলে করণীয় ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 183, 'context': 'গর্ভাবস্থায় পানি ভাঙা', 'question': 'গর্ভাবস্থায় অসময়ে পানি ভাঙ্গলে করণীয় ?'}"
Antepartum care_Dr Pronov.docx,186,গর্ভাবস্থায় পেট  শক্ত হওয়া,গর্ভাবস্থায় পেট শক্ত হলে করণীয় ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 186, 'context': 'গর্ভাবস্থায় পেট  শক্ত হওয়া', 'question': 'গর্ভাবস্থায় পেট শক্ত হলে করণীয় ?'}"
Antepartum care_Dr Pronov.docx,188,গর্ভাবস্থায় পেট ব্যথা,গর্ভাবস্থায় পেট ব্যথার সাধারণ কারণ /,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 188, 'context': 'গর্ভাবস্থায় পেট ব্যথা', 'question': 'গর্ভাবস্থায় পেট ব্যথার সাধারণ কারণ /'}"
Antepartum care_Dr Pronov.docx,189,গর্ভাবস্থায় পেট ব্যথা,গর্ভাবস্থায় পেট ব্যথার গুরুতর কারণ কি কি ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 189, 'context': 'গর্ভাবস্থায় পেট ব্যথা', 'question': 'গর্ভাবস্থায় পেট ব্যথার গুরুতর কারণ কি কি ?'}"
Antepartum care_Dr Pronov.docx,190,গর্ভাবস্থায় পেট ব্যথা,পেট ব্যথা না কি প্রসবের ব্যথা বোঝার উপায় কি ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 190, 'context': 'গর্ভাবস্থায় পেট ব্যথা', 'question': 'পেট ব্যথা না কি প্রসবের ব্যথা বোঝার উপায় কি ?'}"
Antepartum care_Dr Pronov.docx,191,গর্ভাবস্থায় পেট ব্যথা,গর্ভাবস্থায় পেট ব্যথার চিকিৎসা কি ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 191, 'context': 'গর্ভাবস্থায় পেট ব্যথা', 'question': 'গর্ভাবস্থায় পেট ব্যথার চিকিৎসা কি ?'}"
Antepartum care_Dr Pronov.docx,194,গর্ভাবস্থায় ভুলে যাওয়ার প্রবণতা,গর্ভাবস্থায় ভুলে যাওয়ার প্রবণতা হলে করণীয় কী?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 194, 'context': 'গর্ভাবস্থায় ভুলে যাওয়ার প্রবণতা', 'question': 'গর্ভাবস্থায় ভুলে যাওয়ার প্রবণতা হলে করণীয় কী?'}"
Antepartum care_Dr Pronov.docx,196,গর্ভাবস্থায় মুড সুইং,গর্ভাবস্থায় মুড সুইং হতে পারে কি ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 196, 'context': 'গর্ভাবস্থায় মুড সুইং', 'question': 'গর্ভাবস্থায় মুড সুইং হতে পারে কি ?'}"
Antepartum care_Dr Pronov.docx,197,গর্ভাবস্থায় মুড সুইং,গর্ভাবস্থায় মুড সুইং কেন হয়?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 197, 'context': 'গর্ভাবস্থায় মুড সুইং', 'question': 'গর্ভাবস্থায় মুড সুইং কেন হয়?'}"
Antepartum care_Dr Pronov.docx,198,গর্ভাবস্থায় মুড সুইং,গর্ভাবস্থায় মুড সুইং হলে করণীয় কি ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 198, 'context': 'গর্ভাবস্থায় মুড সুইং', 'question': 'গর্ভাবস্থায় মুড সুইং হলে করণীয় কি ?'}"
Antepartum care_Dr Pronov.docx,201,গর্ভাবস্থায় যোনীতে চুলকানি,গর্ভাব স্থায় যোনিতে চুলকানির সাধারণ কারণ ও সমাধান কি কি ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 201, 'context': 'গর্ভাবস্থায় যোনীতে চুলকানি', 'question': 'গর্ভাব স্থায় যোনিতে চুলকানির সাধারণ কারণ ও সমাধান কি কি ?'}"
Antepartum care_Dr Pronov.docx,202,গর্ভাবস্থায় যোনীতে চুলকানি,গর্ভাবস্থায় যোনীতে চুলকানি হলে কখন  ডাক্তারের পরামর্শ নিতে হবে ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 202, 'context': 'গর্ভাবস্থায় যোনীতে চুলকানি', 'question': 'গর্ভাবস্থায় যোনীতে চুলকানি হলে কখন  ডাক্তারের পরামর্শ নিতে হবে ?'}"
Antepartum care_Dr Pronov.docx,210,গর্ভাবস্থায় ডিপ ভেইন থ্রম্বোসিস বা শিরায় রক্ত জমাট বাঁধার,গর্ভাবস্থায় ডিপ ভেইন থ্রম্বোসিস বা শিরায় রক্ত জমাট বাঁধার সমস্যা কি ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 210, 'context': 'গর্ভাবস্থায় ডিপ ভেইন থ্রম্বোসিস বা শিরায় রক্ত জমাট বাঁধার', 'question': 'গর্ভাবস্থায় ডিপ ভেইন থ্রম্বোসিস বা শিরায় রক্ত জমাট বাঁধার সমস্যা কি ?'}"
Antepartum care_Dr Pronov.docx,211,গর্ভাবস্থায় ডিপ ভেইন থ্রম্বোসিস বা শিরায় রক্ত জমাট বাঁধার,ডিপ ভেইন থ্রম্বোসিস কী ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 211, 'context': 'গর্ভাবস্থায় ডিপ ভেইন থ্রম্বোসিস বা শিরায় রক্ত জমাট বাঁধার', 'question': 'ডিপ ভেইন থ্রম্বোসিস কী ?'}"
Antepartum care_Dr Pronov.docx,212,গর্ভাবস্থায় ডিভিটি,গর্ভাবস্থায় কেন ডিভিটি বেশি হয় ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 212, 'context': 'গর্ভাবস্থায় ডিভিটি', 'question': 'গর্ভাবস্থায় কেন ডিভিটি বেশি হয় ?'}"
Antepartum care_Dr Pronov.docx,213,গর্ভাবস্থায় ডিভিটি,গর্ভাবস্থায় ডিভিটি এর লক্ষণসমূহ ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 213, 'context': 'গর্ভাবস্থায় ডিভিটি', 'question': 'গর্ভাবস্থায় ডিভিটি এর লক্ষণসমূহ ?'}"
Antepartum care_Dr Pronov.docx,214,গর্ভাবস্থায় ডিভিটি,গর্ভাবস্থায় ডিভিটি এর ঝুঁকি কাদের বেশি ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 214, 'context': 'গর্ভাবস্থায় ডিভিটি', 'question': 'গর্ভাবস্থায় ডিভিটি এর ঝুঁকি কাদের বেশি ?'}"
Antepartum care_Dr Pronov.docx,216,গর্ভাবস্থায় ডিভিটি,গর্ভাবস্থায় ডিভিটি থেকে হওয়া জটিলতা কি কি ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 216, 'context': 'গর্ভাবস্থায় ডিভিটি', 'question': 'গর্ভাবস্থায় ডিভিটি থেকে হওয়া জটিলতা কি কি ?'}"
Antepartum care_Dr Pronov.docx,217,গর্ভাবস্থায় ডিভিটি,গর্ভাবস্থায় ডিভিটি হলে করনীয়  কি কি ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 217, 'context': 'গর্ভাবস্থায় ডিভিটি', 'question': 'গর্ভাবস্থায় ডিভিটি হলে করনীয়  কি কি ?'}"
Antepartum care_Dr Pronov.docx,226,গর্ভাবস্থায় স্ট্রেচ মার্ক বা ফাটা দাগ,গর্ভাবস্থায় স্ট্রেচ মার্ক বা ফাটা দাগ প্রতিরোধের উপায় কি ?,"{'fname': 'Antepartum care_Dr Pronov.docx', 'id': 226, 'context': 'গর্ভাবস্থায় স্ট্রেচ মার্ক বা ফাটা দাগ', 'question': 'গর্ভাবস্থায় স্ট্রেচ মার্ক বা ফাটা দাগ প্রতিরোধের উপায় কি ?'}"
